date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:50	47/47	---M--	200	added ('OK')	text/plain	etag:%222f-56b208b432d55%22	http://www.apache.org/robots.txt		(from )
12:49:51	79749/79749	---M-Z	200	added ('OK')	text/html	etag:%2213785-58af2dfdac30f-gzip%22	http://www.apache.org/	/home/ayadav/Documents/temp_1/www.apache.org/index.html	(from )
12:49:51	2020/2020	---M--	200	added ('OK')	image/png	etag:%227e4-56b208b5b1a76%22	http://www.apache.org/favicons/apple-touch-icon-57x57.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-57x57.png	(from http://www.apache.org/)
12:49:52	2115/2115	---M--	200	added ('OK')	image/png	etag:%22843-56b208b5b1a76%22	http://www.apache.org/favicons/apple-touch-icon-60x60.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-60x60.png	(from http://www.apache.org/)
12:49:53	2709/2709	---M--	200	added ('OK')	image/png	etag:%22a95-56b208b5b0ad6%22	http://www.apache.org/favicons/apple-touch-icon-72x72.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-72x72.png	(from http://www.apache.org/)
12:49:54	2850/2850	---M--	200	added ('OK')	image/png	etag:%22b22-56b208b5b1a76%22	http://www.apache.org/favicons/apple-touch-icon-76x76.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-76x76.png	(from http://www.apache.org/)
12:49:55	4961/4961	---M--	200	added ('OK')	image/png	etag:%221361-56b208b5b0ad6%22	http://www.apache.org/favicons/apple-touch-icon-114x114.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-114x114.png	(from http://www.apache.org/)
12:49:56	5179/5179	---M--	200	added ('OK')	image/png	etag:%22143b-56b208b5b0ad6%22	http://www.apache.org/favicons/apple-touch-icon-120x120.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-120x120.png	(from http://www.apache.org/)
12:49:57	6610/6610	---M--	200	added ('OK')	image/png	etag:%2219d2-56b208b5b0ad6%22	http://www.apache.org/favicons/apple-touch-icon-144x144.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-144x144.png	(from http://www.apache.org/)
12:49:58	6895/6895	---M--	200	added ('OK')	image/png	etag:%221aef-56b208b5b0ad6%22	http://www.apache.org/favicons/apple-touch-icon-152x152.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-152x152.png	(from http://www.apache.org/)
12:49:59	8537/8537	---M--	200	added ('OK')	image/png	etag:%222159-56b208b5b1a76%22	http://www.apache.org/favicons/apple-touch-icon-180x180.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/apple-touch-icon-180x180.png	(from http://www.apache.org/)
12:50:00	975/975	---M--	200	added ('OK')	image/png	etag:%223cf-56b208b5b0ad6%22	http://www.apache.org/favicons/favicon-32x32.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/favicon-32x32.png	(from http://www.apache.org/)
12:50:01	8491/8491	---M--	200	added ('OK')	image/png	etag:%22212b-56b208b5b0ad6%22	http://www.apache.org/favicons/favicon-194x194.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/favicon-194x194.png	(from http://www.apache.org/)
12:50:02	3958/3958	---M--	200	added ('OK')	image/png	etag:%22f76-56b208b5b1a76%22	http://www.apache.org/favicons/favicon-96x96.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/favicon-96x96.png	(from http://www.apache.org/)
12:50:03	8491/8491	---M--	200	added ('OK')	image/png	etag:%22212b-56b208b5b0ad6%22	http://www.apache.org/favicons/android-chrome-192x192.png	/home/ayadav/Documents/temp_1/www.apache.org/favicons/android-chrome-192x192.png	(from http://www.apache.org/)
